symbol,category,regime,signal_date,sector_ticker,ablated_score,exit_reason,strategy_return_pct,days_held,entry_price,target1,stop_loss,target_distance_pct,stop_distance_pct,atr_pct,support20,resistance20,high52w,factor__Market Regime,factor__Sector Strength,factor__Momentum,factor__Price Structure,factor__Volume Confirmation,factor__Relative Strength,factor__Volatility Profile,factor__Risk/Reward Quality,factor__Price Trend,factor__Volume Trend,dist_resistance_pct,dist_52w_high_pct
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2024-07-26,,60.5,target1,4.775876574343285,3,3094.300048828125,3242.08,2959.32,4.775876574343285,4.362215903375133,2.622574990424557,2886.35009765625,3211.949951171875,3743.89990234375,1.0,0.6,0.5,0.5466666666666666,1.0,0.0,1.0,0.13,,,3.8021491286310916,20.993434484856817
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2024-09-20,,62.9,target1,3.533443708609263,3,3020.0,3126.71,2912.32,3.533443708609263,3.565562913907283,2.1313620023490296,2890.35009765625,3095.75,3743.89990234375,1.0,0.6,1.0,0.5466666666666666,0.5,0.0,1.0,0.12,,,2.5082781456953644,23.970195441846027
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2024-09-27,,63.8,stop_loss,-2.948865452221161,7,3129.0,3210.79,3036.73,2.613934164269738,2.948865452221161,1.9927035543858898,2890.35009765625,3179.0,3743.89990234375,1.0,0.6,0.85,0.0,1.0,0.49000000000000005,1.0,0.09,,,1.5979546180888462,19.651642772251517
ADANIENT,Short-Term (Swing),BULLISH,2025-03-20,,65.4,target1,1.1809860310274534,0,2343.800048828125,2371.48,2234.41,1.1809860310274534,4.667209085639323,2.989279584280349,2026.550048828125,2348.0,3743.89990234375,0.8533333333333334,0.6,0.85,0.0,1.0,0.93,1.0,0.03,,,0.17919409012620044,59.73631813070659
ADANIENT,Short-Term (Swing),BULLISH,2025-04-01,,62.8,target1,3.38497702746019,1,2339.75,2418.95,2233.45,3.38497702746019,4.543220429533079,2.906145917239819,2026.550048828125,2395.0,3743.89990234375,0.8533333333333334,0.6,0.85,0.7466666666666666,0.0,1.0,1.0,0.08,,,2.361363393524949,60.01281770888984
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-05-05,,64.8,stop_loss,-5.041972290138553,1,2454.0,2521.97,2330.27,2.7697636511817336,5.041972290138553,3.3998988444807607,2145.0,2497.0,3743.89990234375,1.0,0.6,0.5,0.7466666666666666,1.0,0.45999999999999996,0.5,0.05,,,1.7522412387938062,52.563158204716785
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-05-16,,63.6,target1,1.5066289595230486,22,2571.300048828125,2610.04,2429.81,1.5066289595230486,5.502665816562691,3.2666313562021134,2233.0,2584.199951171875,3743.89990234375,1.0,0.6,0.85,0.7466666666666666,0.5,0.4,0.5,0.04,,,0.5016879437943913,45.60338471778273
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-06-16,,61.1,stop_loss,-3.7325443786982215,2,2535.0,2682.16,2440.38,5.805128205128196,3.7325443786982215,2.715456737230744,2441.10009765625,2663.199951171875,3345.0,1.0,0.6,0.5,0.7466666666666666,0.5,0.51,1.0,0.13,,,5.057197284886588,31.952662721893493
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-06-20,,69.5,target1,5.818293683347009,3,2438.0,2579.85,2393.07,5.818293683347009,1.842904019688263,2.6844427630414582,2405.10009765625,2663.199951171875,3345.0,1.0,0.6,0.5,0.5466666666666666,1.0,0.03,1.0,1.0,,,9.237077570626537,37.20262510254307
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-06-27,,83.0,stop_loss,-3.9543396226415117,14,2650.0,2708.42,2545.21,2.204528301886799,3.9543396226415117,2.546806038953614,2405.10009765625,2681.60009765625,3258.0,1.0,0.6,1.0,1.0,1.0,0.64,1.0,0.06,,,1.1924565153301887,22.943396226415093
ADANIENT,Short-Term (Swing),BULLISH,2025-09-11,,64.1,target1,1.0753485335096569,7,2416.89990234375,2442.89,2320.55,1.0753485335096569,3.986507767670311,2.174700301416074,2240.0,2418.699951171875,3211.0,0.8533333333333334,0.6,0.85,0.0,1.0,0.77,1.0,0.06,,,0.07447759116459193,32.8561433961822
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-10-29,,60.9,stop_loss,-3.53960784313726,4,2550.0,2643.47,2459.74,3.6654901960784247,3.53960784313726,2.095619931809205,2472.10009765625,2617.300048828125,3070.0,1.0,0.6,0.5,0.5466666666666666,1.0,0.03,1.0,0.13999999999999999,,,2.639217601102941,20.392156862745097
ADANIENT,Short-Term (Swing),STRONG_BULLISH,2025-11-12,,60.5,stop_loss,-5.046957722881529,14,2425.651611328125,2549.29,2303.23,5.097120629131857,5.046957722881529,2.9187866830447566,2267.140869140625,2600.0,3070.0,1.0,0.6,0.5,0.5466666666666666,1.0,0.0,1.0,0.13,,,7.18769290105983,26.56392969471295
ADANIENT,Short-Term (Swing),NEUTRAL,2026-04-28,,60.2,target1,0.6837988826815522,5,2427.60009765625,2444.2,2294.29,0.6837988826815522,5.491435668706535,3.263849049488391,1753.0,2420.0,2695.0,0.5466666666666666,0.6,0.35,0.7466666666666666,1.0,1.0,0.5,0.03,,,-0.31307041318657003,11.014989767133137
ADANIENT,Short-Term (Swing),BEARISH,2026-05-15,,60.1,target1,4.856666666666665,7,2700.0,2831.13,2577.61,4.856666666666665,4.53296296296296,3.396896056651186,2202.199951171875,2803.10009765625,2803.10009765625,0.2533333333333333,0.6,0.35,1.0,1.0,1.0,0.5,0.08,,,3.8185221354166665,3.8185221354166665
