symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
NESTLEIND,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),53.3,,NO TRADE,1.32,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NTPC,Long-Term,2026-06-05,score<40,37.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
NTPC,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),40.3,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ONGC,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),40.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ONGC,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
POWERGRID,Long-Term,2026-06-05,score<40,28.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
POWERGRID,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),42.1,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
RELIANCE,Long-Term,2026-06-05,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
RELIANCE,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBILIFE,Long-Term,2026-06-05,score<40,12.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBILIFE,Long-Term,2026-06-08,score<40,10.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SHRIRAMFIN,Long-Term,2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-04-07,2026-04-08,2026-07-08,time_exit,Long-Term
SHRIRAMFIN,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-07,2026-04-08,2026-07-08,time_exit,Long-Term
SBIN,Long-Term,2026-06-05,score<40,33.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SBIN,Long-Term,2026-06-08,score<40,33.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
SUNPHARMA,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-19,2026-05-20,2026-07-09,target1,Long-Term
SUNPHARMA,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-19,2026-05-20,2026-07-09,target1,Long-Term
TCS,Long-Term,2026-06-05,score<40,17.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TCS,Long-Term,2026-06-08,score<40,17.5,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATACONSUM,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATACONSUM,Long-Term,2026-06-08,score<40,36.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TMPV,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),45.3,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TMPV,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),46.8,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TATASTEEL,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-15,2026-05-18,2026-06-08,stop_loss,Long-Term
TATASTEEL,Long-Term,2026-06-08,40<=score<60 (below grade floor C=60 -- always NO TRADE),,,,,,,skipped_by_open_trade,2026-05-15,2026-05-18,2026-06-08,stop_loss,Long-Term
TECHM,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),51.3,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TECHM,Long-Term,2026-06-08,grade_present_signal_NO_TRADE (production classification gate),61.3,C,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
TITAN,Long-Term,2026-06-05,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-05-25,2026-05-26,2026-07-07,target1,Long-Term
TITAN,Long-Term,2026-06-08,pre_scheduler_eligible (score>=40 and signal!=NO TRADE),,,,,,,skipped_by_open_trade,2026-05-25,2026-05-26,2026-07-07,target1,Long-Term
TRENT,Long-Term,2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-04-29,2026-04-30,2026-06-22,target1,Long-Term
TRENT,Long-Term,2026-06-08,score<40,,,,,,,skipped_by_open_trade,2026-04-29,2026-04-30,2026-06-22,target1,Long-Term
ULTRACEMCO,Long-Term,2026-06-05,score<40,16.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ULTRACEMCO,Long-Term,2026-06-08,score<40,14.0,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
WIPRO,Long-Term,2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),43.8,,NO TRADE,1.5,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
WIPRO,Long-Term,2026-06-08,score<40,17.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJHLDNG,Long-Term,2026-06-05,score<40,32.7,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
BAJAJHLDNG,Long-Term,2026-06-08,score<40,18.9,,NO TRADE,1.5,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
