symbol,category,date,gate_bucket,score,grade,signal,rr_ratio,chase_flag,regime,state,blocking_signal_date,blocking_entry_date,blocking_exit_date,blocking_exit_reason,blocking_category
HCLTECH,Short-Term (Swing),2026-06-08,score<40,26.6,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Short-Term (Swing),2026-06-05,score<40,22.1,,NO TRADE,1.83,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCBANK,Short-Term (Swing),2026-06-08,score<40,25.6,,NO TRADE,3.45,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Short-Term (Swing),2026-06-05,score<40,37.6,,NO TRADE,3.3,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HDFCLIFE,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,3.62,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Short-Term (Swing),2026-06-05,score<40,28.5,,NO TRADE,2.41,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HEROMOTOCO,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,5.01,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDALCO,Short-Term (Swing),2026-06-05,score<40,,,,,,,skipped_by_open_trade,2026-06-01,2026-06-02,2026-06-05,stop_loss,Short-Term (Swing)
HINDALCO,Short-Term (Swing),2026-06-08,score<40,17.9,,NO TRADE,1.43,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDUNILVR,Short-Term (Swing),2026-06-05,score<40,21.8,,NO TRADE,1.47,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
HINDUNILVR,Short-Term (Swing),2026-06-08,score<40,16.6,,NO TRADE,1.74,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Short-Term (Swing),2026-06-05,40<=score<60 (below grade floor C=60 -- always NO TRADE),40.4,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ICICIBANK,Short-Term (Swing),2026-06-08,score<40,28.9,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ITC,Short-Term (Swing),2026-06-05,score<40,14.0,,NO TRADE,1.59,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
ITC,Short-Term (Swing),2026-06-08,score<40,20.3,,NO TRADE,1.96,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INDUSINDBK,Short-Term (Swing),2026-06-05,score<40,33.3,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INDUSINDBK,Short-Term (Swing),2026-06-08,score<40,18.2,,NO TRADE,1.54,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INFY,Short-Term (Swing),2026-06-05,score<40,32.2,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
INFY,Short-Term (Swing),2026-06-08,score<40,31.1,,NO TRADE,1.33,True,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JSWSTEEL,Short-Term (Swing),2026-06-05,score<40,21.1,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JSWSTEEL,Short-Term (Swing),2026-06-08,score<40,24.3,,NO TRADE,2.56,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JIOFIN,Short-Term (Swing),2026-06-05,score<40,25.7,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
JIOFIN,Short-Term (Swing),2026-06-08,score<40,24.1,,NO TRADE,4.05,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
KOTAKBANK,Short-Term (Swing),2026-06-05,score<40,28.5,,NO TRADE,2.42,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
KOTAKBANK,Short-Term (Swing),2026-06-08,score<40,27.9,,NO TRADE,2.49,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
LT,Short-Term (Swing),2026-06-05,score<40,25.6,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
LT,Short-Term (Swing),2026-06-08,score<40,27.3,,NO TRADE,3.26,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
M&M,Short-Term (Swing),2026-06-05,score<40,22.3,,NO TRADE,1.33,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
M&M,Short-Term (Swing),2026-06-08,score<40,21.0,,NO TRADE,2.41,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
MARUTI,Short-Term (Swing),2026-06-05,score<40,15.8,,NO TRADE,1.43,False,STRONG_BEARISH,reached_and_rejected_upstream,,,,,
