Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,888.0,892.2999877929688,883.5999755859375,890.7999877929688,867.5999145507812,2733894,0.0,0.0
2023-09-12,894.9000244140625,896.5,885.0,890.4000244140625,867.2103881835938,4106031,0.0,0.0
2023-09-13,888.0499877929688,918.0,885.5499877929688,915.1500244140625,891.3157958984375,5222561,0.0,0.0
2023-09-14,920.2999877929688,920.5999755859375,910.0999755859375,914.9500122070312,891.1210327148438,5513106,0.0,0.0
2023-09-15,912.5999755859375,948.7000122070312,910.0,936.1500244140625,911.7689208984375,14003428,0.0,0.0
2023-09-18,929.4000244140625,935.7999877929688,918.0,920.2000122070312,896.2343139648438,2977375,0.0,0.0
2023-09-20,911.0,919.2999877929688,904.7999877929688,910.7000122070312,886.981689453125,5241903,0.0,0.0
2023-09-21,910.2000122070312,920.1500244140625,903.3499755859375,917.9500122070312,894.0428466796875,4896202,0.0,0.0
2023-09-22,917.9500122070312,922.3499755859375,903.7999877929688,911.4000244140625,887.6635131835938,6112928,0.0,0.0
2023-09-25,912.0,913.3499755859375,902.0499877929688,910.4000244140625,886.6895141601562,5278045,0.0,0.0
2023-09-26,910.0,920.9500122070312,908.0,912.7000122070312,888.9296264648438,5355047,0.0,0.0
2023-09-27,914.9500122070312,921.0499877929688,907.4500122070312,920.25,896.282958984375,4713145,0.0,0.0
2023-09-28,926.0,932.0,918.5999755859375,925.6500244140625,901.5423583984375,7386917,0.0,0.0
2023-09-29,932.0,936.4000244140625,921.7999877929688,926.4000244140625,902.2728271484375,5608557,0.0,0.0
2023-10-03,918.25,928.25,916.0499877929688,925.2999877929688,901.2014770507812,4338272,0.0,0.0
2023-10-04,918.2999877929688,925.9500122070312,918.2999877929688,924.25,900.1788330078125,5603669,0.0,0.0
2023-10-05,925.0499877929688,929.5999755859375,919.4000244140625,928.8499755859375,904.6589965820312,7063132,0.0,0.0
2023-10-06,929.2000122070312,929.2000122070312,924.2999877929688,926.0499877929688,901.9319458007812,2420855,0.0,0.0
2023-10-09,918.0,928.0499877929688,916.5499877929688,924.5499877929688,900.4710083007812,2248103,0.0,0.0
