Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,51948.69921875,52291.25,51838.0,52239.05078125,52239.05078125,19700,0.0,0.0
2023-09-12,52449.0,52454.75,51768.8984375,52065.8984375,52065.8984375,28900,0.0,0.0
2023-09-13,52049.6015625,52346.6484375,52000.1484375,52223.6484375,52223.6484375,22600,0.0,0.0
2023-09-14,52397.5,52401.6484375,51926.19921875,52143.19921875,52143.19921875,26200,0.0,0.0
2023-09-15,52041.05078125,52178.25,51817.6484375,51895.1484375,51895.1484375,30400,0.0,0.0
2023-09-18,51983.5,52243.1484375,51804.1015625,52198.6015625,52198.6015625,18000,0.0,0.0
2023-09-20,51932.8984375,52066.80078125,51813.80078125,51924.1484375,51924.1484375,20700,0.0,0.0
2023-09-21,51893.05078125,51921.8515625,51332.1484375,51672.6484375,51672.6484375,20700,0.0,0.0
2023-09-22,51629.94921875,51716.69921875,51344.6484375,51608.5,51608.5,16900,0.0,0.0
2023-09-25,51646.30078125,51762.44921875,51346.05078125,51642.44921875,51642.44921875,15700,0.0,0.0
2023-09-26,51724.5,51982.44921875,51644.05078125,51912.8515625,51912.8515625,19000,0.0,0.0
2023-09-27,51951.3515625,52377.8515625,51653.80078125,52329.5,52329.5,20800,0.0,0.0
2023-09-28,52381.80078125,52393.1484375,51246.44921875,51329.1015625,51329.1015625,24500,0.0,0.0
2023-09-29,51504.55078125,51742.69921875,51273.75,51602.6484375,51602.6484375,19700,0.0,0.0
2023-10-03,51603.6484375,51708.0,51255.69921875,51320.8515625,51320.8515625,23600,0.0,0.0
2023-10-04,51372.1484375,51528.25,51128.5,51435.75,51435.75,25300,0.0,0.0
2023-10-05,51625.6015625,51654.55078125,51270.0,51384.55078125,51384.55078125,23000,0.0,0.0
2023-10-06,51488.94921875,51725.3984375,51359.1484375,51577.8984375,51577.8984375,17000,0.0,0.0
2023-10-09,51333.69921875,51635.1484375,51188.3515625,51502.8515625,51502.8515625,14800,0.0,0.0
2023-10-10,51587.0,51845.05078125,51567.8984375,51803.94921875,51803.94921875,13100,0.0,0.0
2023-10-11,52016.05078125,52342.44921875,51913.19921875,52254.44921875,52254.44921875,19000,0.0,0.0
2023-10-12,52377.25,52491.3984375,52041.1484375,52363.94921875,52363.94921875,21100,0.0,0.0
2023-10-13,52240.1015625,52655.75,52130.05078125,52520.69921875,52520.69921875,22000,0.0,0.0
2023-10-16,52468.94921875,52588.30078125,52305.6015625,52401.94921875,52401.94921875,14500,0.0,0.0
2023-10-17,52494.8515625,52851.44921875,52383.44921875,52665.30078125,52665.30078125,21200,0.0,0.0
2023-10-18,52770.30078125,52772.80078125,52381.19921875,52442.05078125,52442.05078125,17000,0.0,0.0
2023-10-19,52170.0,52667.19921875,52077.1015625,52516.3515625,52516.3515625,22600,0.0,0.0
2023-10-20,52164.6015625,52400.6015625,51762.44921875,51823.3515625,51823.3515625,34800,0.0,0.0
2023-10-23,51771.69921875,51956.5,51335.05078125,51421.6484375,51421.6484375,16000,0.0,0.0
2023-10-25,51385.19921875,51619.6015625,50954.3515625,51216.8515625,51216.8515625,24100,0.0,0.0
2023-10-26,50969.3515625,51089.8515625,50607.0,50941.1015625,50941.1015625,34400,0.0,0.0
2023-10-27,50967.8515625,51502.44921875,50948.1015625,51395.0,51395.0,24300,0.0,0.0
2023-10-30,51330.1484375,51501.94921875,50951.94921875,51180.69921875,51180.69921875,17000,0.0,0.0
2023-10-31,51213.5,51418.44921875,51125.25,51262.6015625,51262.6015625,19800,0.0,0.0
2023-11-01,51391.6015625,51462.44921875,50997.3984375,51087.80078125,51087.80078125,19700,0.0,0.0
2023-11-02,51408.3984375,51633.8984375,51164.25,51589.0,51589.0,20800,0.0,0.0
2023-11-03,51777.05078125,51984.6015625,51660.25,51901.5,51901.5,26100,0.0,0.0
2023-11-06,52035.3984375,52166.3515625,51966.6484375,52075.69921875,52075.69921875,17000,0.0,0.0
2023-11-07,52089.8984375,52216.44921875,51934.25,52130.0,52130.0,18300,0.0,0.0
2023-11-08,52262.5,52498.6484375,52153.80078125,52455.19921875,52455.19921875,17000,0.0,0.0
2023-11-09,52537.8515625,52562.5,51946.1484375,51983.0,51983.0,20300,0.0,0.0
2023-11-10,51959.30078125,52129.1484375,51689.05078125,52076.05078125,52076.05078125,18000,0.0,0.0
2023-11-13,52170.94921875,52182.55078125,51917.6484375,52025.6015625,52025.6015625,11500,0.0,0.0
2023-11-15,52333.69921875,52434.8984375,52039.3984375,52383.44921875,52383.44921875,22800,0.0,0.0
2023-11-16,52390.80078125,52680.3984375,52225.55078125,52305.75,52305.75,24500,0.0,0.0
2023-11-17,52237.94921875,52809.75,52237.94921875,52756.1015625,52756.1015625,17200,0.0,0.0
2023-11-20,52842.1015625,52887.8984375,52431.1015625,52550.1015625,52550.1015625,12300,0.0,0.0
2023-11-21,52546.55078125,52651.6015625,52377.69921875,52466.19921875,52466.19921875,13800,0.0,0.0
2023-11-22,52551.44921875,52711.5,52312.30078125,52691.19921875,52691.19921875,12400,0.0,0.0
2023-11-23,52713.6484375,52888.69921875,52662.44921875,52823.05078125,52823.05078125,15400,0.0,0.0
2023-11-24,52889.5,52958.1015625,52548.6015625,52576.8984375,52576.8984375,14100,0.0,0.0
2023-11-28,52670.19921875,52691.8984375,52402.3984375,52489.5,52489.5,20700,0.0,0.0
2023-11-29,52592.75,52775.69921875,52533.0,52725.44921875,52725.44921875,26200,0.0,0.0
2023-11-30,52697.8515625,53193.3515625,52661.30078125,53013.80078125,53013.80078125,40600,0.0,0.0
2023-12-01,53199.25,53917.5,53131.6484375,53851.44921875,53851.44921875,30100,0.0,0.0
2023-12-04,54313.6015625,54397.55078125,53967.3984375,54237.69921875,54237.69921875,25500,0.0,0.0
2023-12-05,54476.5,54557.69921875,54039.6015625,54110.8984375,54110.8984375,26700,0.0,0.0
