Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,2513.800048828125,2538.89990234375,2509.050048828125,2536.25,2395.767333984375,1121083,0.0,0.0
2023-09-12,2549.0,2549.0,2488.0,2498.85009765625,2360.43896484375,3946716,0.0,0.0
2023-09-13,2494.0,2509.0,2492.0,2506.550048828125,2367.712646484375,1231305,0.0,0.0
2023-09-14,2511.0,2514.0,2493.10009765625,2500.800048828125,2362.280517578125,2081195,0.0,0.0
2023-09-15,2474.800048828125,2490.0,2466.0,2469.699951171875,2332.9033203125,3750697,0.0,0.0
2023-09-18,2471.35009765625,2492.949951171875,2462.0,2488.64990234375,2350.8037109375,1499641,0.0,0.0
2023-09-20,2449.64990234375,2480.0,2445.0,2466.85009765625,2330.21142578125,1795159,0.0,0.0
2023-09-21,2466.0,2483.0,2442.89990234375,2473.35009765625,2336.3515625,2223720,0.0,0.0
2023-09-22,2468.0,2490.0,2458.0,2482.449951171875,2344.947021484375,1176741,0.0,0.0
2023-09-25,2482.449951171875,2499.699951171875,2460.0,2475.85009765625,2338.712890625,1122778,0.0,0.0
2023-09-26,2474.0,2489.0,2461.25,2478.949951171875,2341.640625,1263548,0.0,0.0
2023-09-27,2476.0,2504.800048828125,2469.0,2501.75,2363.17822265625,1086791,0.0,0.0
2023-09-28,2500.0,2501.0,2453.199951171875,2460.35009765625,2324.0712890625,1612346,0.0,0.0
2023-09-29,2465.550048828125,2472.800048828125,2450.5,2465.60009765625,2329.0302734375,1249567,0.0,0.0
2023-10-03,2490.0,2499.0,2461.800048828125,2468.89990234375,2332.147705078125,1585626,0.0,0.0
2023-10-04,2467.050048828125,2511.050048828125,2465.14990234375,2507.85009765625,2368.9404296875,1587335,0.0,0.0
2023-10-05,2518.0,2524.800048828125,2495.35009765625,2519.550048828125,2379.992431640625,1909928,0.0,0.0
2023-10-06,2519.949951171875,2520.0,2494.0,2499.39990234375,2360.9580078125,1083342,0.0,0.0
2023-10-09,2485.0,2516.5,2481.0,2511.300048828125,2372.19921875,1468771,0.0,0.0
2023-10-10,2512.199951171875,2520.85009765625,2503.35009765625,2516.199951171875,2376.827880859375,1092373,0.0,0.0
2023-10-11,2518.35009765625,2563.949951171875,2516.25,2556.39990234375,2414.801025390625,1697398,0.0,0.0
2023-10-12,2555.0,2567.550048828125,2539.199951171875,2557.0,2415.367919921875,1625010,0.0,0.0
2023-10-13,2553.050048828125,2576.699951171875,2542.699951171875,2569.449951171875,2427.128662109375,1531977,0.0,0.0
2023-10-16,2560.0,2582.0,2552.60009765625,2558.300048828125,2416.59619140625,954899,0.0,0.0
2023-10-17,2558.300048828125,2570.0,2546.449951171875,2556.14990234375,2414.564697265625,1253538,0.0,0.0
2023-10-18,2570.050048828125,2571.25,2539.550048828125,2548.25,2407.102783203125,1084689,0.0,0.0
2023-10-19,2525.0,2554.39990234375,2525.0,2548.10009765625,2406.9609375,1272343,0.0,0.0
2023-10-20,2520.0,2543.550048828125,2485.050048828125,2495.14990234375,2356.943603515625,3608160,0.0,0.0
2023-10-23,2494.0,2509.949951171875,2480.35009765625,2483.5,2345.939208984375,922707,0.0,0.0
2023-10-25,2475.050048828125,2490.0,2465.0,2477.300048828125,2340.082275390625,1435836,0.0,0.0
2023-10-26,2461.0,2490.0,2455.64990234375,2476.39990234375,2339.232421875,2650560,0.0,0.0
2023-10-27,2467.300048828125,2495.0,2463.85009765625,2482.050048828125,2344.5693359375,1784812,0.0,0.0
2023-10-30,2471.0,2492.0,2462.39990234375,2478.89990234375,2341.593994140625,875135,0.0,0.0
2023-10-31,2470.199951171875,2492.0,2467.800048828125,2484.0,2346.411376953125,920414,0.0,0.0
2023-11-01,2485.0,2493.949951171875,2466.800048828125,2472.25,2335.312255859375,1267131,0.0,0.0
2023-11-02,2475.0,2496.0,2463.300048828125,2486.800048828125,2366.28515625,1595123,18.0,0.0
