Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,1842.424072265625,1861.697509765625,1838.48974609375,1854.9742431640625,1835.4573974609375,433848,0.0,0.0
2023-09-12,1857.61376953125,1912.3958740234375,1828.7286376953125,1863.5401611328125,1843.9332275390625,1858204,0.0,0.0
2023-09-13,1871.558349609375,1938.791015625,1848.30078125,1925.344482421875,1905.0872802734375,2896732,0.0,0.0
2023-09-14,1935.3048095703125,1946.26123046875,1910.95166015625,1923.949951171875,1903.7073974609375,1225975,0.0,0.0
2023-09-15,1934.308837890625,1980.0767822265625,1925.095458984375,1965.03662109375,1944.36181640625,1672773,0.0,0.0
2023-09-18,1972.1583251953125,1980.2261962890625,1945.2652587890625,1949.6976318359375,1929.1842041015625,682473,0.0,0.0
2023-09-20,1949.6976318359375,1952.237548828125,1922.3563232421875,1936.998046875,1916.6182861328125,582031,0.0,0.0
2023-09-21,1924.447998046875,1932.316650390625,1888.590576171875,1903.9295654296875,1883.897705078125,1002208,0.0,0.0
2023-09-22,1899.1485595703125,1921.3104248046875,1881.8175048828125,1904.3778076171875,1884.3411865234375,678725,0.0,0.0
2023-09-25,1904.3778076171875,1938.2431640625,1894.3675537109375,1932.167236328125,1911.8382568359375,762935,0.0,0.0
2023-09-26,1937.2470703125,1952.137939453125,1928.58154296875,1950.245361328125,1929.7261962890625,659819,0.0,0.0
2023-09-27,1959.060302734375,1959.060302734375,1915.433837890625,1923.451904296875,1903.214599609375,510599,0.0,0.0
2023-09-28,1922.3563232421875,1930.2747802734375,1889.088623046875,1898.9493408203125,1878.9698486328125,726738,0.0,0.0
2023-09-29,1902.13671875,1943.273193359375,1902.0869140625,1934.7071533203125,1914.3514404296875,804258,0.0,0.0
2023-10-03,1920.4638671875,1931.3206787109375,1899.0987548828125,1913.8402099609375,1893.7041015625,596037,0.0,0.0
