Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-09-11,8450.9501953125,8498.650390625,8426.150390625,8461.7001953125,8191.62646484375,131688,0.0,0.0
2023-09-12,8519.9501953125,8609.849609375,8395.0,8571.650390625,8298.068359375,335823,0.0,0.0
2023-09-13,8590.0,8685.0,8525.5,8636.349609375,8360.7021484375,321018,0.0,0.0
2023-09-14,8666.0,8700.0,8603.0,8687.9501953125,8410.65625,311971,0.0,0.0
2023-09-15,8721.0,8750.9501953125,8661.25,8728.349609375,8449.765625,357249,0.0,0.0
2023-09-18,8728.0,8737.599609375,8607.0,8628.0,8352.619140625,129308,0.0,0.0
2023-09-20,8590.0,8623.5,8441.0498046875,8458.150390625,8188.19091796875,317399,0.0,0.0
2023-09-21,8375.099609375,8438.0,8286.650390625,8313.5498046875,8048.20556640625,393954,0.0,0.0
2023-09-22,8275.0,8310.650390625,8179.0498046875,8187.39990234375,7926.08203125,524827,0.0,0.0
2023-09-25,8217.0,8279.9501953125,8156.10009765625,8206.2001953125,7944.2822265625,467415,0.0,0.0
2023-09-26,8237.0,8328.0,8206.2001953125,8228.900390625,7966.2578125,515796,0.0,0.0
2023-09-27,8237.0,8289.9501953125,8205.0,8262.7001953125,7998.97900390625,541638,0.0,0.0
2023-09-28,8264.7998046875,8323.9501953125,8134.0,8154.35009765625,7894.08740234375,370431,0.0,0.0
2023-09-29,8200.0,8285.9501953125,8132.0,8254.849609375,7991.37841796875,320974,0.0,0.0
2023-10-03,8289.0,8377.0,8221.2001953125,8304.900390625,8039.83251953125,454402,0.0,0.0
2023-10-04,8292.5498046875,8292.5498046875,8045.0498046875,8120.85009765625,7861.65576171875,884369,0.0,0.0
2023-10-05,8177.0,8208.7998046875,8125.0,8177.4501953125,7916.4501953125,310506,0.0,0.0
2023-10-06,8198.0,8239.650390625,8151.25,8195.4501953125,7933.875,158491,0.0,0.0
2023-10-09,8170.0498046875,8199.849609375,8087.2001953125,8110.10009765625,7851.2490234375,152525,0.0,0.0
2023-10-10,8147.7998046875,8186.35009765625,8105.0,8158.2998046875,7897.91064453125,187020,0.0,0.0
2023-10-11,8195.9501953125,8390.0,8179.2001953125,8343.0,8076.71533203125,439622,0.0,0.0
2023-10-12,8364.9501953125,8385.0,8302.0,8351.75,8085.18603515625,177704,0.0,0.0
2023-10-13,8316.5,8417.0,8307.0,8369.0,8101.88623046875,285076,0.0,0.0
2023-10-16,8369.0498046875,8455.0,8274.0,8292.2001953125,8027.53759765625,363990,0.0,0.0
2023-10-17,8330.0,8332.0,8280.0,8301.400390625,8036.44384765625,205234,0.0,0.0
2023-10-18,8324.900390625,8349.849609375,8248.0,8278.2998046875,8014.08056640625,322136,0.0,0.0
2023-10-19,8249.599609375,8538.0,8193.349609375,8518.5498046875,8246.662109375,837498,0.0,0.0
2023-10-20,8536.0,8648.349609375,8410.900390625,8461.0498046875,8190.9970703125,539291,0.0,0.0
2023-10-23,8415.0,8523.599609375,8302.5498046875,8325.25,8059.53173828125,217546,0.0,0.0
2023-10-25,8355.0,8398.5,8186.25,8256.349609375,7992.8310546875,255678,0.0,0.0
2023-10-26,8236.0,8236.0,8155.5498046875,8205.2998046875,7943.41015625,637430,0.0,0.0
2023-10-27,8211.0,8270.0,8180.0,8210.150390625,7948.10595703125,227682,0.0,0.0
2023-10-30,8242.0,8416.2998046875,8197.4501953125,8401.599609375,8133.4453125,244073,0.0,0.0
2023-10-31,8404.7001953125,8452.099609375,8351.099609375,8422.25,8153.4365234375,218908,0.0,0.0
2023-11-01,8440.0,8445.0,8370.099609375,8381.4501953125,8113.93896484375,209234,0.0,0.0
2023-11-02,8385.5,8473.2001953125,8374.9501953125,8459.0,8189.01416015625,200590,0.0,0.0
2023-11-03,8475.0,8530.0,8436.0,8522.599609375,8250.5830078125,243686,0.0,0.0
2023-11-06,8539.0,8650.0,8521.2001953125,8640.9501953125,8365.15625,194715,0.0,0.0
2023-11-07,8640.9501953125,8695.0,8582.5498046875,8685.75,8408.5263671875,206360,0.0,0.0
2023-11-08,8689.0,8719.150390625,8652.849609375,8698.849609375,8421.2080078125,132370,0.0,0.0
2023-11-09,8685.0,8719.0,8617.75,8627.0498046875,8351.69921875,128138,0.0,0.0
2023-11-10,8591.0498046875,8729.9501953125,8588.599609375,8710.849609375,8432.82421875,149939,0.0,0.0
2023-11-13,8711.099609375,8723.7998046875,8660.0,8677.400390625,8400.4423828125,64412,0.0,0.0
2023-11-15,8709.0,8815.75,8695.25,8766.900390625,8487.0859375,192348,0.0,0.0
2023-11-16,8789.599609375,8811.7001953125,8700.0,8775.0498046875,8494.9755859375,233428,0.0,0.0
2023-11-17,8785.0,8869.599609375,8771.650390625,8790.9501953125,8510.369140625,151817,0.0,0.0
